TIME(MS),COMMAND,VALUE, WORD
000030, 1, 1, START
000030, 2, 1, START
000030, 3, 1, START
000030, 4, 1, START
000030, 5, 1, START
000030, 6, 1, START
000030, 7, 1, START
000030, 8, 1, START
013726, 1, 0, OPEN
014089, 1, 1, Frost
014122, 1, 0, OPEN
014445, 1, 1, y
014460, 1, 0, OPEN
014556, 1, 1, the
014569, 1, 0, OPEN
014713, 1, 1, S
014742, 1, 0, OPEN
015061, 1, 1, now
015094, 1, 0, OPEN
015770, 1, 1, man
015819, 1, 0, OPEN
016005, 1, 1, was
016034, 1, 0, OPEN
016103, 1, 1, a
016199, 1, 0, OPEN
016589, 1, 1, Joll
016638, 1, 0, OPEN
017084, 1, 1, ly
017102, 1, 0, OPEN
017327, 1, 1, Hap
017472, 1, 0, OPEN
017580, 1, 1, py
017599, 1, 0, OPEN
018195, 1, 1, Soul
018839, 1, 0, OPEN
018939, 1, 1, with
018969, 1, 0, OPEN
019087, 1, 1, a
019218, 1, 0, OPEN
019558, 1, 1, corn
019621, 1, 0, OPEN
019833, 1, 1, cob
019989, 1, 0, OPEN
020329, 1, 1, pipe
020423, 1, 0, OPEN
020664, 1, 1, and
020684, 1, 0, OPEN
020788, 1, 1, a
020848, 1, 0, OPEN
020992, 1, 1, but
021108, 1, 0, OPEN
021430, 1, 1, ton
021458, 1, 0, OPEN
021784, 1, 1, nose
021816, 1, 0, OPEN
022093, 1, 1, and
022152, 1, 0, OPEN
022312, 1, 1, two
022334, 1, 0, OPEN
022648, 1, 1, eyes
022674, 1, 0, OPEN
023038, 1, 1, made
023083, 1, 0, OPEN
023412, 1, 1, out
023460, 1, 0, OPEN
023616, 1, 1, of
023864, 1, 0, OPEN
024599, 1, 1, coal
025986, 1, 0, OPEN
026425, 1, 1, Frosty
026451, 1, 0, OPEN
026572, 1, 1, the
026686, 1, 0, OPEN
027036, 1, 1, Snow
027071, 1, 0, OPEN
027677, 1, 1, man
027764, 1, 0, OPEN
027911, 1, 1, is
027970, 1, 0, OPEN
028103, 1, 1, a
028351, 1, 0, OPEN
028852, 1, 1, Fairy
028997, 1, 0, OPEN
029411, 1, 1, tale
029462, 1, 0, OPEN
029633, 1, 1, they
029770, 1, 0, OPEN
030177, 1, 1, Say
030797, 1, 0, OPEN
030929, 1, 1, he
030939, 1, 0, OPEN
031125, 1, 1, was
031163, 1, 0, OPEN
031546, 1, 1, made
031582, 1, 0, OPEN
031707, 1, 1, of
031740, 1, 0, OPEN
032265, 1, 1, snow
032325, 1, 0, OPEN
032448, 1, 1, but
032738, 1, 0, OPEN
033237, 1, 1, children
033427, 1, 0, OPEN
033748, 1, 1, know
033786, 1, 0, OPEN
034106, 1, 1, how
034124, 1, 0, OPEN
034214, 1, 1, he
034324, 1, 0, OPEN
034636, 1, 1, came
034652, 1, 0, OPEN
034860, 1, 1, to
034933, 1, 0, OPEN
035324, 1, 1, life
035437, 1, 0, OPEN
035641, 1, 1, one
035820, 1, 0, OPEN
036199, 1, 1, day
037152, 1, 0, OPEN
037282, 1, 1, there
037327, 1, 0, OPEN
037637, 1, 1, must
037679, 1, 0, OPEN
037843, 1, 1, have
037945, 1, 0, OPEN
038309, 1, 1, been
038371, 1, 0, OPEN
038635, 1, 1, some
038805, 1, 0, OPEN
039401, 1, 1, magic
039473, 1, 0, OPEN
039679, 1, 1, in
040189, 1, 0, OPEN
040310, 1, 1, that
040326, 1, 0, OPEN
040534, 1, 1, old
040556, 1, 0, OPEN
041291, 1, 1, silk hat
041474, 1, 0, OPEN
041663, 1, 1, they
041746, 1, 0, OPEN
042536, 1, 1, found
043259, 1, 0, OPEN
043683, 1, 1, for when
043735, 1, 0, OPEN
043948, 1, 1, they
044104, 1, 0, OPEN
044480, 1, 1, placed
044497, 1, 0, OPEN
044728, 1, 1, it
045055, 1, 0, OPEN
045235, 1, 1, on
045310, 1, 0, OPEN
045559, 1, 1, his
045601, 1, 0, OPEN
045809, 1, 1, head
