TIME(MS),COMMAND,VALUE
5657, 1, 1
5895, 1, 0
5944, 1, 1
6127, 1, 0
6127, 1, 1
6384, 1, 0
6489, 1, 1
6710, 1, 0
6776, 1, 1
7191, 1, 0
7230, 1, 1
7584, 1, 0
7606, 1, 1
8343, 1, 0
9453, 1, 1
9696, 1, 0
9730, 1, 1
9878, 1, 0
9912, 1, 1
10271, 1, 0
10309, 1, 1
10433, 1, 0
10474, 1, 1
10720, 1, 0
10777, 1, 1
11068, 1, 0
11137, 1, 1
11381, 1, 0
11463, 1, 1
11643, 1, 0
11679, 1, 1
12163, 1, 0
13837, 1, 1
14024, 1, 0
14080, 1, 1
14192, 1, 0
14408, 1, 1
14651, 1, 0
14680, 1, 1
14916, 1, 0
14943, 1, 1
15174, 1, 0
15209, 1, 1
15398, 1, 0
15489, 1, 1
15702, 1, 0
15742, 1, 1
15932, 1, 0
16005, 1, 1
16311, 1, 0
16375, 1, 1
17035, 1, 0
18213, 1, 1
18669, 1, 0
18737, 1, 1
18853, 1, 0
18875, 1, 1
18990, 1, 0
19020, 1, 1
19193, 1, 0
19270, 1, 1
19501, 1, 0
19644, 1, 1
19888, 1, 0
20089, 1, 1
20216, 1, 0
20256, 1, 1
21245, 1, 0
23000,END,1
 
