TIME(MS),COMMAND,VALUE, WORD
000030, 1, 1, START
000030, 2, 1, START
000030, 3, 1, START
000030, 4, 1, START
000030, 5, 1, START
000030, 6, 1, START
000030, 7, 1, START
000030, 8, 1, START
06528, 1, 1, 9Have
06528, 2, 1, 9Have
06528, 3, 1, 9Have
06528, 4, 1, 9Have
06528, 5, 1, 9Have
06528, 6, 1, 9Have
06528, 7, 1, 9Have
06528, 8, 1, 9Have
06649, 1, 0, 9Have
06649, 2, 0, 9Have
06649, 3, 0, 9Have
06649, 4, 0, 9Have
06649, 5, 0, 9Have
06649, 6, 0, 9Have
06649, 7, 0, 9Have
06649, 8, 0, 9Have
06671, 1, 1, 9A
06671, 2, 1, 9A
06671, 3, 1, 9A
06671, 4, 1, 9A
06671, 5, 1, 9A
06671, 6, 1, 9A
06671, 7, 1, 9A
06671, 8, 1, 9A
06757, 1, 0, 9A
06757, 2, 0, 9A
06757, 3, 0, 9A
06757, 4, 0, 9A
06757, 5, 0, 9A
06757, 6, 0, 9A
06757, 7, 0, 9A
06757, 8, 0, 9A
06790, 1, 1, 9Holly
06790, 2, 1, 9Holly
06790, 3, 1, 9Holly
06790, 4, 1, 9Holly
06790, 5, 1, 9Holly
06790, 6, 1, 9Holly
06790, 7, 1, 9Holly
06790, 8, 1, 9Holly
07429, 1, 0, 9Holly
07429, 2, 0, 9Holly
07429, 3, 0, 9Holly
07429, 4, 0, 9Holly
07429, 5, 0, 9Holly
07429, 6, 0, 9Holly
07429, 7, 0, 9Holly
07429, 8, 0, 9Holly
07495, 1, 1, 9Jolly
07495, 2, 1, 9Jolly
07495, 3, 1, 9Jolly
07495, 4, 1, 9Jolly
07495, 5, 1, 9Jolly
07495, 6, 1, 9Jolly
07495, 7, 1, 9Jolly
07495, 8, 1, 9Jolly
08022, 1, 0, 9Jolly
08022, 2, 0, 9Jolly
08022, 3, 0, 9Jolly
08022, 4, 0, 9Jolly
08022, 5, 0, 9Jolly
08022, 6, 0, 9Jolly
08022, 7, 0, 9Jolly
08022, 8, 0, 9Jolly
08117, 1, 1, 9Christmas
08117, 2, 1, 9Christmas
08117, 3, 1, 9Christmas
08117, 4, 1, 9Christmas
08117, 5, 1, 9Christmas
08117, 6, 1, 9Christmas
08117, 7, 1, 9Christmas
08117, 8, 1, 9Christmas
08737, 1, 0, 9Christmas
08737, 2, 0, 9Christmas
08737, 3, 0, 9Christmas
08737, 4, 0, 9Christmas
08737, 5, 0, 9Christmas
08737, 6, 0, 9Christmas
08737, 7, 0, 9Christmas
08737, 8, 0, 9Christmas
09026, 1, 1, 1its
09098, 1, 0, 1its
09187, 1, 1, 1the
09250, 1, 0, 1the
09321, 1, 1, 1best
09466, 1, 0, 1best
09645, 1, 1, 1Time
09862, 1, 0, 1Time
10007, 1, 1, 1of
10147, 1, 0, 1of
10299, 1, 1, 1the
10480, 1, 0, 1the
10587, 1, 1, 1year
10873, 1, 0, 1year
11898, 1, 1, 1I
12023, 1, 1, 2OhOh
12023, 2, 1, 2OhOh
12023, 3, 1, 2OhOh
12023, 4, 1, 2OhOh
12023, 5, 1, 2OhOh
12023, 6, 1, 2OhOh
12023, 7, 1, 2OhOh
12052, 1, 0, 1I
12239, 1, 1, 1Dont
12353, 1, 0, 1Dont
12537, 1, 1, 1Know
12794, 1, 0, 1Know
12958, 1, 1, 1if
13040, 1, 0, 1if
13160, 1, 1, 1therell
13311, 1, 0, 1therell
13446, 1, 1, 1be
13563, 1, 0, 1be
13813, 1, 1, 1snow
14215, 1, 0, 1snow
14659, 1, 1, 1but have
14925, 1, 0, 1but have
14986, 1, 1, 1a
15069, 1, 0, 1a
15136, 1, 1, 1cup
15262, 1, 0, 1cup
15356, 1, 1, 1of
15480, 1, 0, 1of
15630, 1, 1, 1cheer
15836, 1, 0, 1cheer
15921, 1, 0, 2OhOh
15921, 2, 0, 2OhOh
15921, 3, 0, 2OhOh
15921, 4, 0, 2OhOh
